model_name,accuracy,macro_f1,weighted_f1,akiec_precision,akiec_recall,akiec_f1,akiec_support,bcc_precision,bcc_recall,bcc_f1,bcc_support,bkl_precision,bkl_recall,bkl_f1,bkl_support,df_precision,df_recall,df_f1,df_support,mel_precision,mel_recall,mel_f1,mel_support,nv_precision,nv_recall,nv_f1,nv_support,vasc_precision,vasc_recall,vasc_f1,vasc_support
baseline_model,0.8373346398824106,0.7290562101500183,0.833673448396022,0.6785714285714286,0.5588235294117647,0.6129032258064516,68.0,0.8278688524590164,0.7651515151515151,0.7952755905511811,132.0,0.6935483870967742,0.7049180327868853,0.6991869918699187,244.0,0.6470588235294118,0.6470588235294118,0.6470588235294118,34.0,0.6473684210526316,0.5466666666666666,0.5927710843373494,225.0,0.9050445103857568,0.9370199692780338,0.920754716981132,1302.0,0.7674418604651163,0.9166666666666666,0.8354430379746836,36.0
baseline_model_1.5,0.8402743753062224,0.7333282291571844,0.839539420371586,0.676923076923077,0.6470588235294118,0.6616541353383458,68.0,0.7753623188405797,0.8106060606060606,0.7925925925925926,132.0,0.7188755020080321,0.7336065573770492,0.7261663286004056,244.0,0.8823529411764706,0.4411764705882353,0.5882352941176471,34.0,0.6375545851528385,0.6488888888888888,0.6431718061674009,225.0,0.9162826420890936,0.9162826420890936,0.9162826420890936,1302.0,0.7560975609756098,0.8611111111111112,0.8051948051948052,36.0
augmented_model,0.7839294463498285,0.6945218725184565,0.7966781466165672,0.5569620253164557,0.6470588235294118,0.5986394557823129,68.0,0.8103448275862069,0.7121212121212122,0.7580645161290323,132.0,0.7090163934426229,0.7090163934426229,0.7090163934426229,244.0,1.0,0.3823529411764705,0.5531914893617021,34.0,0.4345679012345679,0.7822222222222223,0.5587301587301587,225.0,0.9383802816901408,0.8187403993855606,0.874487284659557,1302.0,0.7083333333333334,0.9444444444444444,0.8095238095238095,36.0
focal_model,0.6359627633512984,0.6127384436397036,0.6585118004082995,0.5194805194805194,0.5882352941176471,0.5517241379310345,68.0,0.6,0.8636363636363636,0.7080745341614907,132.0,0.4716981132075472,0.819672131147541,0.5988023952095808,244.0,0.625,0.5882352941176471,0.6060606060606061,34.0,0.33397312859884837,0.7733333333333333,0.46648793565683644,225.0,0.9768707482993197,0.5514592933947773,0.7049582719685813,1302.0,0.5161290322580645,0.8888888888888888,0.6530612244897959,36.0
resnet34_baseline,0.5850073493385596,0.4888314827106469,0.6251030210584692,0.36764705882352944,0.36764705882352944,0.36764705882352944,68.0,0.4430379746835443,0.7954545454545454,0.5691056910569106,132.0,0.511400651465798,0.6434426229508197,0.5698729582577132,244.0,0.09444444444444444,0.5,0.1588785046728972,34.0,0.32679738562091504,0.6666666666666666,0.43859649122807015,225.0,0.9739368998628258,0.5453149001536098,0.6991629739044806,1302.0,0.4918032786885246,0.8333333333333334,0.6185567010309279,36.0
resnet34_mask_crop,0.7731504164625184,0.7189527115042315,0.7884439959196858,0.6025641025641025,0.6911764705882353,0.6438356164383562,68.0,0.7532467532467533,0.8787878787878788,0.8111888111888111,132.0,0.7024793388429752,0.6967213114754098,0.6995884773662552,244.0,0.7692307692307693,0.5882352941176471,0.6666666666666666,34.0,0.4,0.7111111111111111,0.512,225.0,0.9406934306569343,0.7918586789554531,0.859883236030025,1302.0,0.7555555555555555,0.9444444444444444,0.8395061728395061,36.0
efficientnet_mask_crop,0.8383145516903479,0.7453012587357392,0.8386002850622457,0.5402298850574713,0.6911764705882353,0.6064516129032258,68.0,0.7922077922077922,0.9242424242424242,0.8531468531468531,132.0,0.7629310344827587,0.7254098360655737,0.7436974789915967,244.0,0.7307692307692307,0.5588235294117647,0.6333333333333333,34.0,0.6073059360730594,0.5911111111111111,0.5990990990990991,225.0,0.9197194076383476,0.9062980030721967,0.9129593810444874,1302.0,0.825,0.9166666666666666,0.868421052631579,36.0
